qz,qxy,intensity
1.98063,0.151786,57.247
1.98063,0.160714,57.247
1.98063,0.169643,57.247
1.98063,0.178571,57.247
1.98063,0.1875,57.247
1.98063,0.196429,57.247
1.98063,0.205357,57.247
1.98063,0.214286,57.247
1.98063,0.223214,57.247
1.98063,0.232143,57.247
1.98063,0.241071,57.247
1.98063,0.25,57.247
1.98063,0.258929,57.247
1.98063,0.267857,57.247
1.98063,0.276786,57.247
1.98063,0.285714,57.247
1.98063,0.294643,57.546
1.98063,0.303571,57.774
1.98063,0.3125,57.35
1.98063,0.321429,57.41
1.98063,0.330357,57.709
1.98063,0.339286,57.894
1.98063,0.348214,57.72
1.98063,0.357143,57.247
1.98063,0.366071,57.414
1.98063,0.375,87.963
1.98063,0.383929,89.053
1.98063,0.392857,85.264
1.98063,0.401786,84.688
1.98063,0.410714,85.384
1.98063,0.419643,84.498
1.98063,0.428571,85.324
1.98063,0.4375,84.922
1.98063,0.446429,84.623
1.98063,0.455357,84.623
1.98063,0.464286,84.623
1.98063,0.473214,84.623
1.98063,0.482143,84.623
1.98063,0.491071,84.324
1.98063,0.5,83.324
1.98063,0.508929,82.911
1.98063,0.517857,82.911
1.98063,0.526786,83.21
1.98063,0.535714,83.21
1.98063,0.544643,84.21
1.98063,0.553571,83.623
1.98063,0.5625,84.221
1.98063,0.571429,84.221
1.98063,0.580357,83.335
1.98063,0.589286,83.922
1.98063,0.598214,83.922
1.98063,0.607143,83.933
1.98063,0.616071,83.645
1.98063,0.625,84.346
1.98063,0.633929,84.944
1.98063,0.642857,84.428
1.98063,0.651786,84.727
1.98063,0.660714,84.727
1.98063,0.669643,85.727
1.98063,0.678571,86.51
1.98063,0.6875,86.82
1.98063,0.696429,87.831
1.98063,0.705357,89.842
1.98063,0.714286,86.913
1.98063,0.723214,86.799
1.98063,0.732143,87.81
1.98063,0.741071,90.12
1.98063,0.75,89.832
1.98063,0.758929,91.501
1.98063,0.767857,92.213
1.98063,0.776786,92.811
1.98063,0.785714,93.284
1.98063,0.794643,93.768
1.98063,0.803571,93.078
1.98063,0.8125,93.274
1.98063,0.821429,92.769
1.98063,0.830357,92.78
1.98063,0.839286,92.378
1.98063,0.848214,92.275
1.98063,0.857143,92.574
1.98063,0.866071,91.987
1.98063,0.875,91.308
1.98063,0.883929,90.629
1.98063,0.892857,90.64
1.98063,0.901786,90.618
1.98063,0.910714,90.895
1.98063,0.919643,91.205
1.98063,0.928571,89.988
1.98063,0.9375,88.7
1.98063,0.946429,87.711
1.98063,0.955357,88.021
1.98063,0.964286,86.445
1.98063,0.973214,86.57
1.98063,0.982143,83.695
1.98063,0.991071,82.581
1.98063,1,81.695
1.98063,1.00893,80.592
